Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code
1,R2,0,R0603,RC0603JR-070RL,Yageo,DK,311-0.0GRCT-ND,RES SMD 0.0 OHM JUMPER 1/10W,0603-RES
3,"C4, C5, C7",0.1uF,0603-CAP,GRM188R71C104KA01D,Murata Electronics North America,DK,490-1532-1-ND,CAP CER 0.1UF 16V 10% X7R 0603,C0603
4,"C1, C2, C3, C6",1uF,0603-CAP,GRM188R61C105KA93D,Murata Electronics North America,DK,490-1536-1-ND,CAP CER 1UF 16V 10% X5R 0603,C0603
1,R1,330,R0603,ERJ-3GEYJ331V,Panasonic Electronic Components,DK,P330GCT-ND,RES SMD 330 OHM 5% 1/10W 0603,R0603
1,L1,470uH,1210,B82422H1474K,EPCOS Inc,DK,495-2651-1-ND,FIXED IND 470UH 76MA 20 OHM SMD,L1210
1,U1,ADXL362,ADXL362,ADXL362BCCZ-RL7,Analog Devices Inc,DK,ADXL362BCCZ-RL7CT-ND,IC ACCEL DIG LO PWR 3AX 16LGA,16-LGA
1,U2,ADXRS45X-SOIC,ADXRS45X,ADXRS450BRGZ-RL,Analog Devices Inc,DK,ADXRS450BRGZ-RLCT-ND,SENS GYRO 300DEG/S DGTL 16SOIC,16-SOIC
1,D2,GREEN,LED-0603,LTST-C191KGKT,Lite-On Inc.,DK,160-1446-1-ND,LED GREEN CLEAR THIN 0603 SMD,LED-0603
1,D1,MMSD4148T1,SOD123,MMSD4148T1G,ON Semiconductor,DK,MMSD4148T1GOSCT-ND,DIODE GEN PURP 100V 200MA SOD123,SOD123
1,JP2,OUTPUT,2X5-SHROUDED_LOCK,SSW-105-01-L-D-N,Samtec Inc,Samtec,SSW-105-01-L-D-N,2x5 Through Hole 0.1? Header Keyed,2x05
